Synthetic File,Best Match,DTW Distance
processed_709127415_3451473320_43944_53679_TCP.csv,223.10.192.227_212.195.216.177_80_11026_6_time_series.csv,898.8681871101232
processed_1053713845_3468658896_45924_22274_TCP.csv,141.183.211.149_202.29.98.180_443_46617_6_time_series.csv,617.0021572141665
processed_1789145487_3391035832_28426_57079_UDP.csv,126.55.174.210_192.29.95.215_25_26514_17_time_series.csv,813.8599165464293
processed_2507832375_3238378185_443_51696_TCP.csv,135.214.201.40_202.29.112.197_80_49894_6_time_series.csv,684.1514643517236
processed_4012823839_3393145306_57592_57349_TCP.csv,135.214.201.40_202.29.112.197_80_49894_6_time_series.csv,935.2874491202399
processed_811121937_3483165425_39955_16546_TCP.csv,244.199.180.7_202.25.250.197_80_52137_6_time_series.csv,501.3575961713001
processed_2237565459_3350744309_42974_35987_UDP.csv,135.214.201.40_202.29.112.197_80_49894_6_time_series.csv,1603.5830527466387
processed_3225919965_2408889804_3744_51378_TCP.csv,16.228.206.47_64.5.155.150_80_55862_6_time_series.csv,5649.339001761893
processed_1818584285_2473240680_33926_51787_TCP.csv,101.81.106.96_244.29.215.21_8080_63783_6_time_series.csv,768.6204403706013
processed_2237565009_3617606837_56496_52524_UDP.csv,141.183.211.149_202.29.98.180_443_46617_6_time_series.csv,626.4611499770842
processed_2082813129_2270145421_33299_10137_TCP.csv,103.236.115.210_205.180.71.130_443_51992_6_time_series.csv,1842.6417273921934
processed_1360154437_3349792382_59182_18053_UDP.csv,44.222.129.149_251.215.113.218_443_27446_6_time_series.csv,2598.015123649133
processed_3651641618_3390902905_27004_34434_TCP.csv,62.242.75.111_116.246.215.83_443_47190_6_time_series.csv,747.041461959622
processed_2507570390_3444677338_443_35946_TCP.csv,47.108.47.78_116.246.215.93_443_42404_6_time_series.csv,629.7307646588757
processed_609474085_3255343849_443_27720_TCP.csv,44.222.129.149_251.215.113.218_443_27446_6_time_series.csv,2489.7737797697146
processed_743691949_3221789673_443_50897_TCP.csv,75.222.131.152_64.5.155.148_80_36020_6_time_series.csv,1216.329519004716
processed_3741785781_3978971494_49707_12448_TCP.csv,101.81.106.96_244.29.215.21_8080_63783_6_time_series.csv,556.8373046867695
processed_2513338124_3266675766_3802_13892_TCP.csv,126.55.174.210_192.29.95.215_25_26514_17_time_series.csv,779.9601612587322
processed_1000632772_3390900731_10657_9321_UDP.csv,135.197.173.231_202.30.104.253_993_63259_6_time_series.csv,562.586177995148
processed_744052033_3978971494_443_60184_TCP.csv,99.141.80.151_116.246.215.232_45474_1485_17_time_series.csv,1102.2267249714564
processed_590887381_4253874555_48927_1662_TCP.csv,135.214.201.40_215.7.140.237_443_26636_6_time_series.csv,662.2434079169925
